Name,Thickness,Camber
joukowsk,0.117998,8.4e-05
k1,0.115981,0.01916
k2,0.102955,0.012835
k3,0.173268,0.026249
k3311,0.110122,0.031845
k3311sm,0.110338,0.032303
kc135a,0.154965,0.012822
kc135b,0.129911,0.013606
kc135c,0.105947,0.015179
kc135d,0.089942,0.01904
kenmar,0.27924,0.076886
l188root,0.139979,0.020049
l188tip,0.119992,0.026707
l7769,0.110171,0.044424
la203a,0.1573,0.055268
ld79,0.052866,0.041046
lg10sc,0.09999,0.014827
lnv109a,0.129817,0.059858
lrn1007,0.07278,0.058668
ls013,0.12866,0.000188
ls413mod,0.130203,0.022142
ls417mod,0.170044,0.021411
ls421,0.209077,0.023811
ls421mod,0.209572,0.022734
m1,0.061852,0.000161
m10,0.062217,0.019337
m11,0.081827,0.018969
m12,0.119812,0.020113
m13,0.062427,0.038811
m14,0.081164,0.039528
m15,0.120488,0.038722
m16,0.061929,0.041281
m17,0.081494,0.04138
m18,0.120554,0.041397
m19,0.061859,0.060645
m2,0.081186,0.000184
m20,0.081894,0.060974
m21,0.120176,0.060767
m22,0.062767,0.063217
m23,0.081965,0.064016
m24,0.119997,0.06361
m25,0.063032,0.082552
m26,0.08339,0.08309
m27,0.120157,0.083912
m3,0.119432,0.000211
m4,0.063098,0.022149
m5,0.082591,0.02079
m6,0.120778,0.022345
m665,0.078521,0.014731
m685,2.170567,0.283787
m7,0.062318,0.049096
m8,0.117449,0.081318
m9,0.104685,0.072603
ma409,0.067961,0.033271
ma409sm,0.066966,0.033271
marsden,0.279169,0.075659
marske1,0.140014,0.030304
marske2,0.120676,0.026694
marske3,0.120701,0.027295
marske4,0.102098,0.028024
marske5,0.122475,0.033605
marske7,0.120517,0.028208
mb253515sm,0.149572,0.024054
mh18,0.111421,0.028017
mh20,0.090216,0.020113
mh22,0.072133,0.017927
mh24,0.090115,0.012385
mh30,0.078396,0.017146
mh32,0.08714,0.023899
mh42,0.089383,0.018737
mh43,0.085045,0.017586
mh45,0.098459,0.016464
mh60,0.10082,0.017777
mh61,0.102811,0.014395
mh62,0.093057,0.015962
miley,0.128658,0.051997
ms317,0.170079,0.016531
ms413,0.131388,0.017677
n0011sc,0.109572,4.6e-05
naca0009sm,0.090218,0.0
naca0012,0.120034,2.8e-05
naca11h9,0.090132,0.044825
naca1h15,0.148529,0.055362
naca23012,0.120031,0.01468
naca2411,0.110073,0.024131
naca2414,0.140092,0.018815
naca2415,0.150079,0.018612
naca25411,0.110032,0.025006
naca2h15,0.148527,0.045394
naca5h10,0.099038,0.022659
naca5h15,0.15459,0.029913
naca5h20,0.19919,0.044574
naca63010a,0.099953,0.000166
naca63012a,0.119954,0.000168
naca63015a,0.14995,0.000168
naca63210,0.099977,0.011212
naca63212,0.119991,0.011041
naca63215,0.150004,0.010873
naca63215b,0.150463,0.014369
naca63412,0.120027,0.021783
naca63415,0.150059,0.021483
naca64008a,0.080008,0.00016
naca64012,0.120003,0.000168
naca64012a,0.12001,0.000169
naca64015,0.150079,0.000167
naca64015a,0.150008,0.00017
naca6409,0.090295,0.058631
naca64108,0.079991,0.005564
naca64110,0.100009,0.005548
naca6412,0.120423,0.057183
naca64212,0.119977,0.010962
naca64212ma,0.119941,0.022828
naca64212mb,0.120467,0.013834
naca64215,0.150093,0.010847
naca64a010,0.099982,1e-06
naca66-018,0.179958,-2e-06
naca66021,0.210015,7.5e-05
naca6h10,0.100178,0.046111
naca6h15,0.155746,0.045409
naca6h20,0.199615,0.061386
naca8h12,0.119964,0.033238
nasasc2-0714,0.139414,0.025399
ncambre,0.115201,0.013931
nl722343,0.086116,0.01337
nl722362,0.086136,0.012104
nlf0115,0.149888,0.018097
nlf0215f,0.149906,0.039789
nlf1015,0.149993,0.04699
nlf414f,0.141813,0.024015
nlf415,0.150174,0.029542
